title,authors,published,pdf,summary_generated
Why Linear Recurrent Memory Works in Partially Observable Reinforcement Learning,"Yike Zhao, Onno Eberhard, Malek Khammassi, Ali H. Sayed, Michael Muehlebach",2026-05-29 12:56:28+00:00,https://arxiv.org/pdf/2605.31261v1," The family of linear recurrent neural networks has shown strong performance as recurrent memory units in partially observable reinforcement learning . The results extend to action-controlled HMMs, where the corresponding linear filters become time-varying with action-dependent dynamics ."
Formalizing and falsifying causal pathways of rare events,"Anahita Haghighat, Dominik Janzing",2026-05-29 12:50:47+00:00,https://arxiv.org/pdf/2605.31254v1," Building on recent formalizations of root cause analysis for rare events, we propose a formal definition of a causal pathway . We identify conditions under which these implications depend only on a causal abstraction defined by the pathway of rare events ."
ERGeoBench:A Comprehensive Benchmark for Embodied Reasoning and Geo-localization in Multimodal Large Language Models,"Kaiwen Xue, Tao Wei, Guoxin Zhang, Zhonghong Ou, Kaoyan Lu, Yu Feng, Yifan Zhu, Haoran Luo",2026-05-29 12:49:17+00:00,https://arxiv.org/pdf/2605.31251v1," ERGeoBench is a diagnostic benchmark for vision-driven embodied geo-localization . The benchmark contains 2,207 globally distributed street-view panoramas . It measures four complementary capabilities: foundational perception, spatial awareness, common sense reasoning, and geo-Localization reasoning ."
"Entropic Projection Alignment: Estimating, Explaining, and Improving Model Performance Under Distribution Shift","Salim I. Amoukou, Emanuele Albini, Tom Bewley, Saumitra Mishra, Manuela Veloso",2026-05-29 12:48:34+00:00,https://arxiv.org/pdf/2605.31250v1, Entropic Projection Alignment (EPA) aligns the source distribution to the target by matching carefully selected moments while simultaneously minimising the KL divergence from the source . This formulation yields a unique closed-form solution for importance weights .
Learning Cardiac Latent Representations in Vectorcardiogram Space,"Bosong Huang, Panzhen Zhao, Zengxiang Li, Patricia Lee, Wei Jin, Alan Wee-Chung Liew, Ming Jin, Shirui Pan",2026-05-29 12:48:12+00:00,https://arxiv.org/pdf/2605.31249v1," Electrocardiography is a cornerstone of cardiac assessment, making learning of informative ECG representations fundamental to tasks ranging from disease diagnosis to clinical report generation . We propose learning a unified latent representation of cardiac electrical activity directly in the ECG signal space ."
Correcting Split Selection in Online Decision Trees via Anytime-Valid Inference,"Salim I. Amoukou, Saumitra Mishra, Manuela Veloso",2026-05-29 12:40:27+00:00,https://arxiv.org/pdf/2605.31239v1," Current analyses rely on fixed-sample concentration bounds, while split decisions are made using data-dependent stopping rules . We introduce a principled alternative based on anytime-valid inference ."
Robust class-gated single-pixel diffractive optical neural network with random-aberration-aware training,"Xianjin Liu, Qiwen Bao, Ting Ma, Yihuan Liang, Yongqiu Lai, Bolun Zhang, Fansanqiu Li, Licheng Wang, Jun-Jun Xiao",2026-05-29 12:36:22+00:00,https://arxiv.org/pdf/2605.31232v1," Optical computing offers the theoretical potential for high-speed, energy-efficient inference . But practical deployment remains constrained by input-output bottlenecks, such as reliance on sensors with limited frame rates and stringent alignment requirements between optical components ."
Beyond Classification: Dynamic Adapter Routing for Continual Multimodal Retrieval,"Alicja Dobrzeniecka, Filip Szatkowski, Sebastian Cygert, Szymon Lukasik, Bartlomiej Twardowski",2026-05-29 12:32:59+00:00,https://arxiv.org/pdf/2605.31229v1," While retrieval is a core function of vision-language models, continually updating these models for retrieval tasks remains critically underexplored . Existing work often approaches continual retrieval through the lens of class-incremental learning (CIL), evaluating both standard CIL methods and retrieval-oriented adaptations in settings that may not fully capture the retrieval-specific dynamics . We propose Dynamic Adapter Routing (DAR), a novel approach b ."
EchoRL: Reinforcement Learning via Rollout Echoing,"Jinhe Bi,  Aniri, Minglai Yang, Xingcheng Zhou, Wenke Huang, Sikuan Yan, Yujun Wang, Zixuan Cao, Michael Färber, Xun Xiao, Volker Tresp, Yunpu Ma",2026-05-29 12:31:55+00:00,https://arxiv.org/pdf/2605.31228v1," Reinforcement Learning with Verifiable Rewards is an effective route for post-training to strengthen the reasoning capability of large language models . However, as training proceeds, the learning signal can collapse thus makes the training gain become marginal and ineffective ."
What changes after deployment? A survey on On-device Learning in TinyML,"Massimo Pavan, Luca Pezzarossa, Fabrizio Pittorino, Manuel Roveri, Xenofon Fafoutis",2026-05-29 12:29:25+00:00,https://arxiv.org/pdf/2605.31226v1, Machine learning models on microcontroller-class devices (TinyML) face a fundamental challenge: post-deployment distribution change undermines static models . On-device learning (ODL) addresses this by running the learning process directly on the device .
Comparing LLM-Based Conversational and Graphical Interfaces for Industrial Decision Tasks: An Exploratory Mixed-Methods Study,"Roberto Figliè, Simone Caputo, Alan Serrano, Tommaso Turchi, Daniele Mazzei",2026-05-29 12:27:39+00:00,https://arxiv.org/pdf/2605.31224v1, The use of Generative AI Conversational User Interfaces (CUI) as a new way to access and analyze data is growing in all sectors . Large amounts of data produced by IoT devices are flowing through user interfaces . LLM-based CUIs are promising a way to directly interact with those data through the directness of natural language .
Shared Doubt: Zero-shot Cross-Lingual Confidence Estimation for Language Models,"Athina Kyriakou, Dennis Ulmer, Ivan Titov",2026-05-29 12:25:24+00:00,https://arxiv.org/pdf/2605.31220v1," Confidence estimation (CE) has attracted great interest in the context of large language models (LLMs) Most studies focus on English, ignoring the multilingual reality of LLM usage, while many CE methods degrade or require retraining across languages . We investigate whether multilingual LLMs encode shared, language-transferable confidence features ."
Benchmarking and Enhancing Text-to-Image Models for Generating Visual Representations in Early Arithmetic Education,"Junling Wang, Boqi Chen, Heejin Do, Mubashara Akhtar, April Yi Wang, Mrinmaya Sachan",2026-05-29 12:18:08+00:00,https://arxiv.org/pdf/2605.31212v1," AI systems are increasingly used to support educational content creation, but it remains unclear whether they can generate outputs that faithfully represent pedagogical concepts . We introduce equation-to-visual generation, a task that requires producing pedagogically meaningful visuals from arithmetic equations while preserving their numerical and relational structure ."
Simulation of collision avoidance behavior in crowd movement by data-driven approach,"Xuanwen Liang, Eric Wai Ming Lee",2026-05-29 12:15:52+00:00,https://arxiv.org/pdf/2605.31210v1," Data-driven models enhance trajectory prediction accuracy under Euclidean metrics . But they suffer from excessively high collision rates, especially in bidirectional and multidirectional flows . A new lateral-acceleration-based collision loss function and a Voronoi-based motion feature extraction approach are proposed ."
MAECO-Lite: Modular Ontology for Dynamic Malware Analysis,"Zekeri Adams, Peter Švec, Ján Kľuka, Roderik Ploszek, Monday Onoja, Štefan Balogh, Martin Homola",2026-05-29 12:08:07+00:00,https://arxiv.org/pdf/2605.31199v1, Capturing dynamic malware behavior in a practical but still semantically precise manner remains a significant challenge in cyber threat intelligence . MAEC and STIX provide widely adopted vocabularies for describing malware artifacts and observations . They tend to conflate enduring malware artifacts with events generated during execution .
Probing Collision Grounding in Vision-Language Models for Safe Human-Robot Collaboration,"Jun Wang, Xiaohao Xu, Xiaonan Huang",2026-05-29 12:04:38+00:00,https://arxiv.org/pdf/2605.31196v1," TouchSafeBench is a physics-grounded benchmark for evaluating collision grounding in vision-language models . Built in Habitat~3.0, TouchSafebench contains 2,940 simulated indoor co-presence episodes ."
"Steering LLMs? Actually, Sparse Autoencoders can outperform simple baselines","Mikkel Godsk Jørgensen, Lars Kai Hansen",2026-05-29 11:53:54+00:00,https://arxiv.org/pdf/2605.31183v1," Sparse Autoencoders (SAEs) have been seen as a promising avenue for exploring the internals of Large Language Models . Wu et al. (2025) did not seem to live up to their original hype due to poor steering performance . We find that SAEs can, in fact, perform close to on par with the reference LoRA performance on the AxBench benchmark ."
MindVoice: Reconstructing Intelligible Speech from Non-invasive Neural Signals with Pretrained Priors,"Guangyin Bao, Taiping Zeng, Jianfeng Feng, Xiangyang Xue",2026-05-29 11:38:38+00:00,https://arxiv.org/pdf/2605.31173v1," Reconstructing continuous speech from non-invasive neural recordings is a fundamental problem for probing human auditory perception and building safe, scalable speech brain-computer interfaces . We introduce MindVoice, a neuro-to-speech reconstruction framework, to overcome these limitations ."
MIMO: Multilingual Information Retrieval via Monolingual Objectives,"Youngjoon Jang, Seongtae Hong, Heuiseok Lim",2026-05-29 11:34:15+00:00,https://arxiv.org/pdf/2605.31171v1, Multilingual Information Retrieval (MLIR) reflects real-world search environments in which queries and relevant documents may appear in different languages within a mixed-language corpus . MIMO is a two-stage framework that uses a stable English semantic space from a high-performing teacher model as an anchor .
Emergent Languages in Populations of Language Model Agents: From Token Efficiency to Oversight Evasion,"Stine Lyngsø Beltoft, William Brach, Federico Torrielli, Jacob Nielsen, Annemette Brok Pirchert, Filippo Tonini, Peter Schneider-Kamp, Lukas Galke Poech",2026-05-29 11:33:05+00:00,https://arxiv.org/pdf/2605.31170v1," We study emergent languages on Moltbook . We apply a two-stage approach consisting of a rule-based heuristic and zero-shot classification . The resulting categories include token efficiency (166), new natural languages (106), and oversight evasion (59)"
LLM-FACETS: A Privacy-Preserving Framework for Evaluating LLM Transparency and Accountability,"Tom Lucas, Alessio Buscemi, Alfredo Capozucca, German Castignani, Barbara Delacroix",2026-05-29 11:20:47+00:00,https://arxiv.org/pdf/2605.31167v1," LLM-FACETS (LLM FActuality Cross-EvaluaTion System) is an open-source framework with a browser-accessible interface and plugin architecture . It is structured around three practitioner profiles (technical experts, domain experts, compliance officers)"
D$^3$: Dynamic Directional Graph-Constrained Data Scheduling for LLM Training,"Yuanjian Xu, Jianing Hao, Guang Zhang, Zhong Li",2026-05-29 11:13:43+00:00,https://arxiv.org/pdf/2605.31164v1, Training data plays a central role in large language models (LLMs) optimization . We propose a Dynamic Directional graph-constrained Data scheduling framework .
Trust-Region Behavior Blending for On-Policy Distillation,"Daniil Plyusov, Alexey Gorbatovski, Alexey Malakhov, Nikita Balagansky, Boris Shaposhnikov, Daria Korotyshova, Daniil Gavrilov",2026-05-29 11:06:06+00:00,https://arxiv.org/pdf/2605.31159v1, Trust-Region behavior Blending (TRB) replaces the early rollout policy with the closest-to-teacher behavior policy inside a student-centered KL trust region . TRB attains the strongest average among the compared methods .
Developing a UXR Point of View for Cognitive Accessibility in Mobile Learning with Generative AI,"Fatima Ahmad Muazu, Festus Adedoyin, Huseyin Dogan, Abiodun Adedeji, Melike Akca, Olumuyiwa Ayorinde",2026-05-29 11:00:11+00:00,https://arxiv.org/pdf/2605.31149v1," This study investigates how UX research (UXR) principles can be used to improve the quality of requirements for mobile learning systems designed for learners with cognitive disabilities . Using the UXR Point-of-View (PoV) pyramid as a methodological framework, the study progressed through four stages: foundational structuring of psychological, behavioral, and design layers ."
SpatialAct: Probing Spatial Reasoning-to-Action Capabilities of VLM Agents in 3D Scenes,"Tianhui Liu, Jie Feng, Zhiheng Zheng, Shengyuan Wang, Yiming Guo, Yanxin Xi, Hangyu Fan, Yong Li, Pan Hui",2026-05-29 10:59:26+00:00,https://arxiv.org/pdf/2605.31148v1," Humans can effortlessly perceive spatial layouts, form cognitive representations, reason about spatial relations, and translate such reasoning into actions in everyday 3D environments . Recent vision-language models (VLMs) have shown promising performance on observation-conditioned spatial perception and reasoning tasks ."
"Developing a Culturally Grounded, AI-Augmented UX Research Point of View (POV): An Exemplar Case Study from Telemedicine Dementia Care","Abiodun Adedeji, Huseyin Dogan, Festus Adedoyin, Michelle Heward, Melike Akca, Emmanuel Oluwatosin Oluokun, Fatima Ahmad Muhazu, Olumuyiwa Ayorinde",2026-05-29 10:56:57+00:00,https://arxiv.org/pdf/2605.31147v1," User Experience Research (UXR) Points of View (POVs) distil complex and often fragmented research evidence into actionable perspectives . POVs are widely used in industry practice, but there are few published examples that explicitly document how POVs can be constructed . This paper presents an exemplar case study demonstrating how a culturally grounded, AI-augmented UXR POV was developed to inform TeleDeCa, a telemedicine dementia care framework for family caregivers in Nigeria ."
From Evidence to Design: Developing an AI-Augmented UX Research Point of View for Digital Wellbeing in Emergency and Public Safety Contexts,"Olumuyiwa Ayorinde, Huseyin Dogan, Festus Adedoyin, Nan Jiang, Emmanuel Oluokun, Abiodun Adedeji, Melike Akca",2026-05-29 10:53:57+00:00,https://arxiv.org/pdf/2605.31146v1," User Experience Research (UXR) methods can be combined with AI-supported analysis to develop clearer design direction for digital wellbeing interventions . EPSP work in high-stress, shift-based environments where cognitive fatigue and unpredictable schedules reduce engagement with conventional wellbeing tools ."
FOCUS: Forcing In-Context Object Localization through Visual Support Constraints and Policy Optimization,"Mohammed Asad Karim, Vinay Kumar Verma",2026-05-29 10:53:52+00:00,https://arxiv.org/pdf/2605.31145v1," In-context localization (ICL) seeks to localize a target object specified by a small set of support examples in a query image . Despite rapid advances in vision-language models, achieving category-agnostic and visually grounded ICL remains an open problem ."
Extending the UXR Point of View Pyramid: A Generative AI-Augmented Methodology for Human-Centred AI Systems,"Festus Fatai Adedoyin, Huseyin Dogan, Melike Akca, Abiodun Adedeji",2026-05-29 10:51:16+00:00,https://arxiv.org/pdf/2605.31143v1," Rising household debt and cost-of-living pressures in the UK have intensified the role of AI-driven financial technologies in mediating credit assessment, repayment structuring, and debt support services . These systems increasingly shape consequential financial decisions, yet they operate within complex socio-technical environments characterised by regulatory constraint, algorithmic opacity and heightened vulnerability risk ."
"On the Robustness of Multilingual Text Embedding Rankings Across Learning Tasks, Languages, and Benchmark Datasets","Ana Gjorgjevikj, Barbara Koroušić Seljak, Tome Eftimov",2026-05-29 10:50:22+00:00,https://arxiv.org/pdf/2605.31142v1," Large-scale multilingual text embedding models play crucial role in both research and industry . Their behavior in language-specific, multi-task settings remains insufficiently understood . Conclusion about model superiority often depend on implicit choices of dataset compositions and performance aggregation methods ."
Developing an AI-Powered UX Research Point of View for Digital Health in A Regulatory Context: An Exemplar Case from MSM and Transgender HIV Care in Nigeria,"Emmanuel Oluwatosin Oluokun, Festus Fatai Adedoyin, Huseyin Dogan, Nan Jiang, Melike Akca, Abiodun Adedeji, Olumuyiwa Ayorinde, Fatima Ahmad Muazu",2026-05-29 10:47:44+00:00,https://arxiv.org/pdf/2605.31138v1," User Experience Research (UXR) in legal and regulatory contexts presents unique challenges that require specialised approaches to protect vulnerable populations . This paper introduces a Generative AI-augmented UXR methodology to guide the design of psychologically safe, low-cognitive-load digital health interventions for HIV/AIDS ."
UXR PoV for Neuroinclusive Emotion Regulation,"Melike Akca, Mona Giff, Deniz Cetinkaya, Huseyin Dogan, Stephen Giff",2026-05-29 10:40:48+00:00,https://arxiv.org/pdf/2605.31131v1," Attention-deficit/hyperactivity disorder (ADHD) presents itself in individuals through patterns of developmentally inappropriate levels of inattentiveness, hyperactivity, and impulsivity, with difficulties in decision making and emotional regulation ."
Not All Synthetic Data Is Yours to Learn From,"Sina Alemohammad, Li Chen, Richard G. Baraniuk, Zhangyang Wang",2026-05-29 10:34:11+00:00,https://arxiv.org/pdf/2605.31126v1," Can a language model improve from plain text sampled from itself, with no prompts, no teacher, no verifier, and no reward model? We call this the latent capability resurfacing hypothesis . Weak self-training can amplify capabilities already present in the pretrained model, but only under compatibility condition . Synthetic utility is relational rather than intrinsic: self-ge ."
TARIC: Memory-Augmented Traversability-Aware Outdoor VLN under Interrupted Semantic Cues,"Tianle Zeng, Hanjing Ye, Jianwei Peng, Jingwen Yu, Hanxuan Chen, Hong Zhang",2026-05-29 10:30:36+00:00,https://arxiv.org/pdf/2605.31121v1," Outdoor vision-language navigation (VLN) in long-range, open-world environments is frequently disrupted by semantic-cue interruptions . Once such cues disappear, agents enter a cue-free phase and often degrade into backtracking, oscillatory headings, or aimless exploration ."
SWIM: Single-Instance Whole-Body Imitation for swiMming,"Binglun Wang, Edmond S. L. Ho, He Wang",2026-05-29 10:30:03+00:00,https://arxiv.org/pdf/2605.31120v1," Physically-based character animation aims to generate physically valid, controllable, and natural-looking motions which can respond to unexpected disturbances . We propose a new method for synthesizing physically-based swimming motions ."
Vector Linking via Cross-Model Local Isometric Consistency,"Ziying Chen, Yang Cao, He Sun, Beining Yang, Tianjian Yang",2026-05-29 10:12:52+00:00,https://arxiv.org/pdf/2605.31100v1," We study Vector Linking: given two embedding clouds produced by different black-box encoders over partially overlapping datasets, recover cross-model object correspondences using only vectors . We propose an iterative, reference-based geometric embedding hashing that recovers vector links from a tiny seed set of paired anchors . It represents each vector by distances to sampled paired anchors, proposes candidate links via hash-space matching ."
KnowledgeGain: Evaluating and Optimizing Science News Generation for Reader Learning,"Dominik Soós, Meng Jiang, Jian Wu",2026-05-29 10:12:07+00:00,https://arxiv.org/pdf/2605.31099v1, KnowledgeGain is a metric that evaluates the quality of science news by measuring how much knowledge readers gained after reading it . The metric successfully captures the differential knowledge gained by human readers reading different types of media .
SpecDB: LLM-Generated Customized Databases via Feature-Oriented Decomposition,"Yunkai Lou, Longbin Lai, Shunyang Li, Zhengping Qian, Ying Zhang",2026-05-29 10:07:43+00:00,https://arxiv.org/pdf/2605.31097v1," SpecDB is a system that uses large language models (LLMs) to synthesize customized databases . We survey 9 production systems and decompose them into 10 functional modules . To capture cross-module dependencies, we adopt the FODA feature model and extend it with a cooperate edge, yielding a dependency graph ."
Redefining Instance Matching: A Unified Framework for Part-Aware Matching in Panoptic Segmentation Evaluation,"Erik Großkopf, Soumya Snigdha Kundu, Hendrik Möller, Nicolas Münster, Mehdi Astaraki, Paula Tamara Buzduga, Kerstin Ritter, Benedikt Wiestler, Jan Kirschke, Jonathan Shapey, Tom Vercauteren, Florian Kofler",2026-05-29 10:04:25+00:00,https://arxiv.org/pdf/2605.31094v1, The Panoptic Quality (PQ) metric is the standard for jointly evaluating instance and semantic segmentation . The original definition relies on a One-to-One matching between predicted and ground truth segments . We show that the first three are well-defined within the PQ framework .
On Revisiting Entropy for Identifying Mislabeled Images,"Chunlei Li, Zixuan Zheng, Yilei Shi, Guanglu Dong, Pengfei Li, Jingliang Hu, Xiao Xiang Zhu, Lichao Mou",2026-05-29 09:59:32+00:00,https://arxiv.org/pdf/2605.31090v1, Mislabeled samples in training datasets severely degrade performance of deep networks . Overparameterized models tend to memorize erroneous labels . We propose novel approach for mislabeled data detection that leverages training dynamics .
A Pilot Study on Curator-Guided Multilingual Art Description for Blind and Low-Vision Audiences with Small Vision-Language Models,"Iosif Tsangko, Andreas Triantafyllopoulos, George Margetis, Ioana Crihana, Björn W. Schuller",2026-05-29 09:47:45+00:00,https://arxiv.org/pdf/2605.31080v1, Blind and low-vision (BLV) audiences remain underserved by visual art descriptions . This pilot study investigates curator-guided multilingual art description with Qwen2.5-VL-3B-Instruct .
DRIFT: Joint Channel Estimation and Prediction Towards Pilotless 6G Non-Terrestrial Networks,"Bruno De Filippo, Carla Amatetti, Alessandro Vanelli-Coralli",2026-05-29 09:35:35+00:00,https://arxiv.org/pdf/2605.31065v1, Non-terrestrial networks (NTNs) are expected to play a pivotal role in sixth-generation (6G) systems . Channel prediction emerges as a key technique to improve the spectrum utilization efficiency by limiting pilot overhead .
Fighting Numerical Hallucinations via Data-centric Compilation for Online Financial QA,"Hao Chen, Xing Tang, Qirui Liu, Weijie Shi, Shiwei Li, Fuyuan Lyu, Weihong Luo, Xiku Du, Xiuqiang He",2026-05-29 09:35:11+00:00,https://arxiv.org/pdf/2605.31064v1," Large Language Models have significantly advanced online data services, particularly in the domain of financial question answering (FinQA) However, such systems remain susceptible to numerical reasoning hallucinations, which undermine reliability in high-stakes financial applications ."
STEP: Learning STructured Embeddings for Progressive Time Series,"Lucas Thil, Jesse Read, Rim Kaddah, Guillaume Doquet",2026-05-29 09:33:34+00:00,https://arxiv.org/pdf/2605.31061v1," We present a novel method for learning interpretable representations of progressive time series . Our approach uses a self-supervised contrastive objective to learn a low-dimensional latent space whose geometry is itself the interpretation . From this structure we read a latent compass, the polar coordinates (θ, r) of the latent vector ."
AnchorSteer: Self-Discovered Concept Injection for Structure-Preserving Music Editing,"Chih-Heng Chang, Keng-Seng Ho, Chih-Yu Tsai, Kuan-Lin Chen, Yi-Hsuan Yang, Jian-Jiun Ding",2026-05-29 09:25:55+00:00,https://arxiv.org/pdf/2605.31053v1," AnchorSteer is a framework that disentangles this tension by coupling structural anchoring with self-discovered semantic steering . The proposed approach probes internal representations to extract interpretable, label-free concept vectors ."
Linear Ordering Problem: Time for a Change,"Fabrizio Fagiolo, Marco Baioletti, Valentino Santucci",2026-05-29 09:25:48+00:00,https://arxiv.org/pdf/2605.31051v1," The Linear Ordering Problem (LOP) is a combinatorial optimization problem with important applications in areas such as economics, social choice, and machine learning . Its most prominent use is the triangulation of economic input-output tables . Most existing algorithms have been evaluated on benchmarks derived from outdated macroeconomic data ."
Learning to Solve and Optimize by Evolving Code,"Veronika Semmelrock, Benedetta Strizzolo, Francesco Zuccato, Gerhard Friedrich, Patrick Rodler, Konstantin Schekotihin",2026-05-29 09:25:07+00:00,https://arxiv.org/pdf/2605.31049v1, CHECKMATE algorithm generation via code evolution represents a paradigm shift by eliminating the need to formulate the how . A formal specification ensures solutions' correctness and enables systematic evaluation of the generated programs .
Routing on the Stiefel Manifold: When Does Adaptive Subspace Selection Help for Cross-Domain EEG Decoding?,"Isabella Costa Maia, Pedro L. C. Rodrigues, Salem Said, Marco Congedo",2026-05-29 09:20:25+00:00,https://arxiv.org/pdf/2605.31043v1, Cross-domain EEG decoding remains challenging despite advances in Riemannian deep learning . Covance matrices from different subjects occupy systematically distinct regions of the SPD manifold . We propose dynamic Stiefel routing: a pool of $K$ expert projection filters . Each input covariance routed to the most appropriate filter via cross-attention .
From Prompt Injection to Persistent Control: Defending Agentic Harness Against Trojan Backdoors,"Jiejun Tan, Zhicheng Dou, Xinyu Yang, Yuyang Hu, Yiruo Cheng, Xiaoxi Li, Ji-Rong Wen",2026-05-29 09:19:07+00:00,https://arxiv.org/pdf/2605.31042v1," LLM agents are evolving from conversational chatbots to operational tools in real-world workspaces . In local agentic harnesses, an LLM can read and write files, call tools, and reuse workspace state across sessions . While such capabilities enhance utility, they also expose a new attack surface for attackers ."
Does Visual Information Play a Decisive Role in Vision-Language-Action Model Driving Behavior?,"Jingtao He, Hongliang Lu, Xiaoyun Qiu, Yixuan Wang, Xinhu Zheng",2026-05-29 09:18:32+00:00,https://arxiv.org/pdf/2605.31041v1, Vision-Language-Action (VLA) models have demonstrated promising capability in autonomous driving . But how current VLA-based driving behavior is grounded in visual information remains poorly understood . Existing evaluation protocols mainly focus on aggregate performance metrics .
Annealed Softmax Greedy in Many-Armed Bayesian Bandits,"William Overman, Mohsen Bayati",2026-05-29 09:05:29+00:00,https://arxiv.org/pdf/2605.31034v1, Reinforcement learning with verifiable rewards (RLVR) and group-based policy optimization methods such as GRPO update a stochastic policy by sampling multiple completions per prompt . These updates do not include explicit mechanisms that track epistemic uncertainty . This paper studies a stylized explanation for why such uncertainty-agnostic updates can nevertheless be effective .
GraphARC: A Comprehensive Benchmark for Graph-Based Abstract Reasoning,"Saku Peltonen, August Bøgh Rønberg, Andreas Plesner, Roger Wattenhofer",2026-05-29 09:03:30+00:00,https://arxiv.org/pdf/2605.31031v1," GraphARC generalizes the few-shot transformation learning paradigm of the Abstraction and Reasoning Corpus (ARC) Each task requires inferring a transformation rule from a few input-output pairs . Unlike grid-based ARC, GraphARC instances can be generated at scale across diverse graph families and sizes ."
HADT: A Heterogeneous Multi-Agent Differential Transformer for Autonomous Earth Observation Satellite Cluster,"Mohamad A. Hady, Muhammad Anwar Masum, Siyi Hu, Mahardhika Pratama, Jimmy Cao, Ryszard Kowalczyk",2026-05-29 08:54:41+00:00,https://arxiv.org/pdf/2605.31023v1," This work addresses the problem of autonomous resource management in heterogeneous satellite cluster conducting Earth Observation (EO) missions . In autonomous operation mode, satellites are equipped with intelligent capabilities enabling real-time decision-making based on the latest conditions ."
A Persona-Based Evaluation Framework for Pluralistic Alignment in Generative AI,Atahan Karagoz,2026-05-29 08:54:09+00:00,https://arxiv.org/pdf/2605.31021v1, Current alignment paradigms for generative artificial intelligence rely on monolithic benchmarking frameworks that reduce the plurality of human judgment to aggregated statistical baselines . We introduce a state-space constrained emulation framework for AI evaluation that replaces singular assessment functions with a structured manifold of synthetic cognitive profiles .
DEM: A Distilled Explanation Model for Interpretable Anomaly Detection in Physiological Sensor Networks,"Jyotirmoy Singh, Anushka Roy, Shreea Bose, Chittaranjan Hota",2026-05-29 08:39:39+00:00,https://arxiv.org/pdf/2605.31007v1, The Distilled Explanation Model (DEM) is a three-stage glass-box framework that distills the non-linear knowledge of a gradient boosting expert into an interpretable decision tree . DEM introduces a    model that is not an approximation but the prediction itself .
Generating Reports or Repeating Templates? Measuring and Mitigating Template Collapse in 3D CT Report Generation,"Tom Maye-Lasserre, Yitong Li, Bailiang Jian, Morteza Ghahremani, Benedikt Wiestler, Christian Wachinger",2026-05-29 08:21:00+00:00,https://arxiv.org/pdf/2605.30984v1," Modern 3D medical vision-language models (VLMs) can generate fluent radiology-style text while exhibit critically low pathology detection and output diversity, collapsing to generic templates that under-report rare yet critical findings . We identify this failure mode as Template Collapse . To mitigate it, we propose CLarGen, a decoupled framework that separates what to say (clinin) and what it means (CLarGen)"
Variational Adapter for Cross-modal Similarity Representation,"WenZhang Wei, Zhipeng Gui, Dehua Peng, Tiandi Ye, Huayi Wu",2026-05-29 08:08:15+00:00,https://arxiv.org/pdf/2605.30968v1," Most image-text matching or multi-class image classification datasets lack fine-grained cross-modal matching annotations . This compression induces false negative samples and significantly impairs the generalization performance . To address these challenges, we propose a Variational Adapter for Cross-Modal Similarity Representation ."
Reading Between the Citations: A Typed Claim Network for Scientific Literature,"Ning Ding, Sergio J. Rodríguez Méndez, Pouya G. Omran",2026-05-29 08:02:45+00:00,https://arxiv.org/pdf/2605.30966v1," Knowledge graphs over corpora of inter-referencing documents encode the topology of reference but not its stance . We propose the claim network: a representational pattern in which each cross-document reference is reified as a typed claim, carrying source, target, claim text ."
ImmersiveTTS: Environment-Aware Text-to-Speech with Multimodal Diffusion Transformer and Domain-Specific Representation Alignment,"Jun-Hak Yun, Seung-Bin Kim, Seong-Whan Lee",2026-05-29 07:58:54+00:00,https://arxiv.org/pdf/2605.30965v1, ImmersiveTTS is an environment-aware text-to-speech (TTS) model that generates natural speech seamlessly integrated within environmental contexts . Model builds on a multimodal diffusion transformer and fuses transcript-aligned speech with text-conditioned environmental context via joint attention .
AMix-2: Establishing Protein as a Native Modality in Large Language Models,"Keyue Qiu, Yixin Wu, Lihao Wang, Yawen Ouyang, Jixiang Yu, Zihan Zhou, Changze Lv, Dongyu Xue, Yuxuan Song, Xinbo Zhang, Hao Wang, Jiangtao Feng, Zhiqiang Gao, Lijun Wu, Xiaoqing Zheng, Ka-Chun Wong, Lei Bai, Ya-Qin Zhang, Wei-Ying Ma, Dahua Lin, Bowen Zhou, Hao Zhou",2026-05-29 07:58:08+00:00,https://arxiv.org/pdf/2605.30963v1, AMix-2 is a protein-text foundation model that establishes protein as a native modality in large language models . It unifies protein understanding and sequence design within a single foundation model . This scheme better matches the intrinsic nature of proteins than a strict left-to-right factorization .
Do Large Language Models Encode Institutional Experience? Evidence from Cross-Linguistic Moral Reasoning Under Ambiguity,Nattavudh Powdthavee,2026-05-29 07:23:23+00:00,https://arxiv.org/pdf/2605.30934v1, Large language models (LLMs) exhibit systematic differences in moral reasoning across languages . We test the hypothesis that languages encode aspects of the institutional environments in which they are spoken . We examine moral dilemmas whose acceptability depends on institutional functioning .
TUX: Measuring Human--AI Tacit Understanding,"Yueshen Li, Hanyi Min, Vedant Das Swain, Koustuv Saha",2026-05-29 07:19:58+00:00,https://arxiv.org/pdf/2605.30930v1," As large language models (LLMs) increasingly act as collaborative partners, human--AI alignment is often evaluated through explicit task success, accuracy, or reward optimization . Many collaborative settings depend on tacit understanding: whether an agent can align with a human's evaluative stance or representational priors without clear objectives, communication, or feedback . To study this capacity, we develop a spectrum-placement task inspired by the social party game Wavelength, in which humans and agents independently place concepts along subjective spectra ."
